org_id,district_id,mo_id,district_name,mo_name,is_work
176944,11,72,Московский,Пулковский меридиан,2
176997,2,13,Красносельский,Урицк,2
177117,11,70,Московский,Гагаринское,2
177202,9,59,Центральный,N 78,2
177253,11,69,Московский,Московская Застава,2
177291,9,63,Центральный,Владимирский округ,2
177394,1,7,Приморский,Юнтолово,2
177555,12,77,Петроградский,Аптекарский Остров,2
177820,2,11,Красносельский,Южно-Приморский,2
178123,1,6,Приморский,Озеро Долгое,2
178195,3,18,Красногвардейский,Малая Охта,2
178207,7,50,Невский,Правобережный,2
178269,7,48,Невский,Невский округ,2
178351,3,18,Красногвардейский,Малая Охта,2
178459,3,19,Красногвардейский,Пороховые,2
178466,3,19,Красногвардейский,Пороховые,2
178955,7,48,Невский,Невский округ,2
179059,1,6,Приморский,Озеро Долгое,2
179315,12,75,Петроградский,Кронверкское,2
180498,1,8,Приморский,Коломяги,2
180515,1,8,Приморский,Коломяги,2
180543,13,81,Адмиралтейский,Сенной округ,2
207872,1,5,Приморский,Комендантский Аэродром,2
217056,7,42,Невский,Невская застава,2
217338,3,18,Красногвардейский,Малая Охта,2
217781,1,6,Приморский,Озеро Долгое,2
218077,6,37,Калининский,Финляндский округ,2
218188,2,11,Красносельский,Южно-Приморский,2
218431,7,48,Невский,Невский округ,2
219191,7,48,Невский,Невский округ,2
219203,3,18,Красногвардейский,Малая Охта,2
248853,6,37,Калининский,Финляндский округ,2
249853,7,48,Невский,Невский округ,2
250072,6,37,Калининский,Финляндский округ,2
290388,2,15,Красносельский,Горелово,2
293463,6,36,Калининский,Академическое,2
294747,6,37,Калининский,Финляндский округ,2
294760,3,16,Красногвардейский,Полюстрово,2
294820,3,16,Красногвардейский,Полюстрово,2
378087,5,30,Выборгский,Светлановское,2
4222427,2,14,Красносельский,Константиновское,2
4237384,7,49,Невский,Оккервиль,2
4436165,9,63,Центральный,Владимирский округ,2
